iter	RMSE
0	1439.396362
1	1394.809311
2	1352.395917
3	1311.558291
4	1272.525547
5	1235.137813
6	1199.923195
7	1166.419262
8	1134.379396
9	1103.729695
10	1074.801646
11	1047.37366
12	1021.429448
13	996.2674887
14	972.4065909
15	949.8329822
16	928.7088196
17	908.5828761
18	889.9818187
19	871.9363806
20	854.9880009
21	838.8716563
22	823.9121392
23	809.7309373
24	796.0770386
25	783.4552743
26	771.4153749
27	760.180445
28	749.4961392
29	739.6573714
30	730.2504459
31	721.6125186
32	713.3883574
33	705.7142977
34	698.5396248
35	691.8446971
36	685.4312094
37	679.3480623
38	673.689993
39	668.4062832
40	663.5445892
41	658.8962008
42	654.743988
43	650.7026658
44	646.952202
45	643.4366248
46	640.1798789
47	637.0806759
48	634.2061596
49	631.4347077
50	628.8522163
51	626.5000483
52	624.3182012
53	622.2048452
54	620.24351
55	618.3819422
56	616.622338
57	615.0023414
58	613.4639027
59	612.0764787
60	610.7472477
61	609.475021
62	608.2643951
63	607.1589269
64	606.1048802
65	605.169468
66	604.1901991
67	603.310964
68	602.4607659
69	601.5688344
70	600.8379221
71	600.1552388
72	599.5185513
73	598.8551718
74	598.2949385
75	597.7040576
76	597.1592084
77	596.6236226
78	596.1326862
79	595.6815344
80	595.2603468
81	594.8402088
82	594.4235226
83	594.0748747
84	593.6260455
85	593.3074834
86	593.0279915
87	592.6870395
88	592.3427693
89	592.0713008
90	591.829789
91	591.5785513
92	591.0754587
93	590.8843221
94	590.6584727
95	590.4738555
96	590.2135057
97	589.9251442
98	589.6208188
99	589.4238998
100	589.2670519
101	589.0910328
102	588.8657091
103	588.7081517
104	588.5634259
105	588.4119585
106	588.2269364
107	588.0563938
108	587.8870257
109	587.6241405
110	587.4385848
111	587.2644396
112	587.0577894
113	586.993446
114	586.847771
115	586.6736052
116	586.576075
117	586.4765619
118	586.3405271
119	586.1456033
120	585.9904598
121	585.8890264
122	585.7919276
123	585.5786432
124	585.4983587
125	585.3841847
126	585.2857146
127	585.1461965
128	585.0368585
129	584.9291113
130	584.8268193
131	584.6238024
132	584.4665749
133	584.3849735
134	584.2756136
135	584.231069
136	583.9993214
137	583.8688388
138	583.7650882
139	583.657131
140	583.5398762
141	583.4387975
142	583.3684839
143	583.2664328
144	583.1718839
145	583.1244531
146	582.9865737
147	582.9355588
148	582.9064124
149	582.8335109
150	582.7119058
151	582.5669605
152	582.4190555
153	582.3025797
154	582.2333653
155	582.2065743
156	582.1269214
157	581.9866169
158	581.9162693
159	581.7881336
160	581.6096097
161	581.5144377
162	581.3929792
163	581.3156623
164	581.2843865
165	581.182801
166	581.0463124
167	580.9941475
168	580.8356453
169	580.8049649
170	580.717471
171	580.4508174
172	580.3298777
173	580.2432259
174	579.920936
175	579.7786957
176	579.6415158
177	579.4825367
178	579.3766791
179	579.2014118
180	579.0941972
181	578.9932507
182	578.9149946
183	578.8073385
184	578.6670844
185	578.6156348
186	578.3758458
187	578.2560095
188	578.1426761
189	578.1118061
190	577.9410605
191	577.888985
192	577.8353826
193	577.7970537
194	577.4924736
195	577.4600755
196	577.3047596
197	577.1288626
198	577.0112189
199	576.910527
200	576.9010854
201	576.8155554
202	576.7139288
203	576.5604277
204	576.4747642
205	576.4641487
206	576.4404849
207	576.3827785
208	576.3356958
209	576.3037654
210	576.2465411
211	576.1329225
212	576.0548251
213	576.0122365
214	575.8793434
215	575.7762515
216	575.537274
217	575.3791517
218	575.2593419
219	575.1725184
220	575.0625263
221	575.0189776
222	574.9769008
223	574.9390284
224	574.897127
225	574.8467766
226	574.7659904
227	574.7187972
228	574.5695478
229	574.5120085
230	574.5048112
231	574.5016951
232	574.3857616
233	574.3499868
234	574.3278318
235	574.2919775
236	574.2227127
237	574.1372296
238	574.0252454
239	573.9387945
240	573.9341982
241	573.7032395
242	573.6997925
243	573.6491805
244	573.562386
245	573.4780426
246	573.3829784
247	573.3201479
248	573.2328018
249	573.1525113
250	573.1273365
251	573.036159
252	572.9142268
253	572.8434984
254	572.7732324
255	572.762672
256	572.6852707
257	572.6333939
258	572.5692478
259	572.550307
260	572.4854172
261	572.4117705
262	572.4051669
263	572.3577506
264	572.320574
265	572.265461
266	572.1995425
267	572.1417181
268	572.0742169
269	572.0145953
270	571.9504879
271	571.8767107
272	571.8054468
273	571.7518328
274	571.7259721
275	571.5190781
276	571.4804993
277	571.42792
278	571.4276807
279	571.368584
280	571.3043412
281	571.151015
282	571.0982321
283	571.0181614
284	570.8799266
285	570.763256
286	570.7269082
287	570.6493856
288	570.6408009
289	570.6107186
290	570.5478687
291	570.4984994
292	570.3833243
293	570.3447816
294	570.296699
295	570.2444891
296	570.1839154
297	570.0556307
298	569.9616378
299	569.9610843
300	569.8899993
301	569.8687882
302	569.7876242
303	569.756341
304	569.6573303
305	569.5881587
306	569.5211478
307	569.5205858
308	569.4465571
309	569.382056
310	569.3215223
311	569.3211603
312	569.2880865
313	569.2873337
314	569.2387361
315	569.2073691
316	569.1844658
317	569.1332555
318	569.0883782
319	569.0873649
320	569.0080082
321	568.9401153
322	568.8870681
323	568.877582
324	568.876938
325	568.7778739
326	568.7280153
327	568.6758134
328	568.6752764
329	568.6092369
330	568.5749265
331	568.5050378
332	568.4664854
333	568.3367102
334	568.2533823
335	568.253207
336	568.2376873
337	568.1809093
338	568.1489722
339	568.0950679
340	568.05808
341	567.9712064
342	567.9709104
343	567.9072907
344	567.9069369
345	567.9062094
346	567.8685514
347	567.7764077
348	567.7402899
349	567.705041
350	567.6705423
351	567.4673285
352	567.4336807
353	567.402535
354	567.3836839
355	567.260046
356	567.2599033
357	567.2271686
358	566.9202652
359	566.8688872
360	566.8413722
361	566.8229276
362	566.7516826
363	566.6676305
364	566.4798724
365	566.4466869
366	566.4142308
367	566.390817
368	566.2858532
369	566.2333665
370	566.1829517
371	565.9504127
372	565.9187205
373	565.8989608
374	565.8893346
375	565.8882822
376	565.8573033
377	565.8317867
378	565.7832221
379	565.6920108
380	565.6917224
381	565.6613853
382	565.5758312
383	565.49674
384	565.4440282
385	565.4437278
386	565.4140059
387	565.2456158
388	565.2164955
389	565.187955
390	565.1875219
391	565.1872704
392	565.1592887
393	565.131846
394	565.1056521
395	565.0787291
396	565.0531372
397	565.0362384
398	564.9727731
399	564.9173898
400	564.8414328
401	564.7858672
402	564.7297695
403	564.5893058
404	564.5888412
405	564.5883986
406	564.5386368
407	564.5222507
408	564.4982845
409	564.492418
410	564.4919588
411	564.4221884
412	564.3137271
413	564.2908638
414	564.1478884
415	564.1354988
416	564.1108999
417	564.0949029
418	564.080638
419	563.9897677
420	563.9757452
421	563.9749668
422	563.8966891
423	563.8962681
424	563.8508862
425	563.8354025
426	563.8199938
427	563.8195931
428	563.7840196
429	563.7377076
430	563.7373652
431	563.7136773
432	563.713091
433	563.5659252
434	563.5239383
435	563.5237189
436	563.3353352
437	563.3350285
438	563.311909
439	563.2905893
440	563.2680014
441	563.2674809
442	563.2430092
443	563.196233
444	563.1909746
445	563.1666545
446	563.1317833
447	563.1188023
448	563.0781927
449	563.0573549
450	562.8767509
451	562.8554833
452	562.7784606
453	562.7549274
454	562.7506073
455	562.7328044
456	562.7303631
457	562.6940574
458	562.6709414
459	562.62582
460	562.5289717
461	562.5283005
462	562.3443825
463	562.2079878
464	562.1253749
465	562.0482113
466	562.0288067
467	562.0086349
468	561.949952
469	561.8981232
470	561.7391723
471	561.738558
472	561.7246943
473	561.687714
474	561.6479564
475	561.6477966
476	561.5714405
477	561.5334304
478	561.5141665
479	561.3356423
480	561.2415998
481	561.1980026
482	561.0291299
483	560.9913017
484	560.9907266
485	560.9720906
486	560.9579205
487	560.9440786
488	560.8943377
489	560.8378661
490	560.7835338
491	560.7603396
492	560.7601032
493	560.6171257
494	560.5998284
495	560.5687031
496	560.537152
497	560.4745845
498	560.4612417
499	560.4183388
500	560.4003154
501	560.3772875
502	560.2920531
503	560.209314
504	560.191883
505	560.0526905
506	560.0524156
507	559.9904788
508	559.9549579
509	559.9382417
510	559.8466482
511	559.6728865
512	559.656687
513	559.5866232
514	559.5034935
515	559.3798252
516	559.3794369
517	559.3737656
518	559.3521754
519	559.3295149
520	559.1597522
521	559.1132532
522	559.0976821
523	559.0696057
524	559.0690963
525	559.0238507
526	559.0106468
527	558.9738328
528	558.9125322
529	558.8998143
530	558.7546547
531	558.741895
532	558.6423348
533	558.6140031
534	558.61353
535	558.6134787
536	558.5487106
537	558.4581373
538	558.3983385
539	558.3832052
540	558.3685401
541	558.3479457
542	558.3252062
543	558.2905269
544	558.2453688
545	558.231143
546	558.2289111
547	558.2165922
548	558.1395708
549	557.9401391
550	557.928071
551	557.9142184
552	557.8738185
553	557.8335079
554	557.7946614
555	557.7430572
556	557.6834211
557	557.6396131
558	557.6183823
559	557.5982327
560	557.5388205
561	557.5369317
562	557.5368632
563	557.5350103
564	557.4744206
565	557.3296801
566	557.266444
567	557.1962808
568	557.1273059
569	557.0914581
570	557.0379745
571	556.8989462
572	556.8016571
573	556.7394549
574	556.687272
575	556.5529111
576	556.3863018
577	556.2895601
578	556.2102679
579	556.1446824
580	556.0821541
581	556.0796245
582	556.0036905
583	555.9815171
584	555.9506775
585	555.9135762
586	555.7837096
587	555.7377225
588	555.6853566
589	555.5599208
590	555.5598659
591	555.5261433
592	555.40353
593	555.3923056
594	555.3592213
595	555.2640334
596	555.1700371
597	555.1375417
598	555.0528208
599	555.0240995
600	555.0240356
601	555.0157622
602	555.0015509
603	555.0015148
604	554.9960065
605	554.906386
606	554.8696786
607	554.7759781
608	554.7255053
609	554.7084121
610	554.5783174
611	554.5062351
612	554.4656181
613	554.3747074
614	554.3637046
615	554.2742667
616	554.2742297
617	554.2266382
618	554.1696719
619	554.1672426
620	554.137524
621	554.1187409
622	554.1130304
623	554.1129978
624	554.1113196
625	553.992563
626	553.991709
627	553.9696802
628	553.9493749
629	553.8185399
630	553.7622846
631	553.7023275
632	553.6657053
633	553.6170351
634	553.5938624
635	553.4812297
636	553.4590562
637	553.4004697
638	553.3769498
639	553.3650757
640	553.3152932
641	553.2593953
642	553.2593302
643	553.2193353
644	553.2029874
645	553.1597871
646	553.1573452
647	553.1201853
648	553.0634155
649	553.0424339
650	553.0138242
651	552.992068
652	552.959645
653	552.9438664
654	552.9362396
655	552.781209
656	552.7723559
657	552.7579052
658	552.6437603
659	552.6418695
660	552.5216685
661	552.4968968
662	552.4720597
663	552.4375109
664	552.3806027
665	552.3592499
666	552.3367242
667	552.2979548
668	552.2905324
669	552.2718318
670	552.1748566
671	552.1267769
672	552.0730295
